Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt,Speed,hDOP
2021,11,28,12,42,37,11,18.837481,47.116226,101.3,34.53,90
2021,11,28,12,42,37,11,18.837456,47.116253,101.3,34.53,90
2021,11,28,12,42,37,11,18.837431,47.116280,101.2,34.53,90
2021,11,28,12,42,37,11,18.837408,47.116306,101.2,34.53,90
2021,11,28,12,42,37,11,18.837385,47.116333,101.2,34.53,90
2021,11,28,12,42,37,11,18.837360,47.116360,101.2,34.53,90
2021,11,28,12,42,37,11,18.837337,47.116383,101.2,34.53,90
2021,11,28,12,42,37,11,18.837311,47.116409,101.1,34.53,90
2021,11,28,12,42,37,11,18.837288,47.116436,101.1,34.53,90
2021,11,28,12,42,37,11,18.837263,47.116463,101.1,34.53,90
2021,11,28,12,42,38,11,18.837240,47.116489,101.1,34.53,90
2021,11,28,12,42,38,11,18.837215,47.116516,101.1,34.53,90
2021,11,28,12,42,38,11,18.837193,47.116543,101.0,34.53,90
2021,11,28,12,42,38,11,18.837166,47.116570,101.0,34.53,90
2021,11,28,12,42,38,11,18.837141,47.116592,101.0,34.53,90
2021,11,28,12,42,38,11,18.837118,47.116619,101.0,34.53,90
2021,11,28,12,42,38,11,18.837093,47.116646,101.0,34.53,90
2021,11,28,12,42,38,11,18.837070,47.116673,101.0,34.53,90
2021,11,28,12,42,38,11,18.837046,47.116699,100.9,34.53,90
2021,11,28,12,42,38,11,18.837021,47.116726,100.9,34.53,90
2021,11,28,12,42,39,11,18.836996,47.116753,100.9,34.53,90
2021,11,28,12,42,39,11,18.836971,47.116776,100.9,34.53,90
2021,11,28,12,42,39,11,18.836946,47.116802,100.9,34.53,90
2021,11,28,12,42,39,11,18.836922,47.116829,100.8,34.53,90
2021,11,28,12,42,39,11,18.836897,47.116856,100.8,34.53,90
2021,11,28,12,42,39,11,18.836874,47.116882,100.8,34.53,90
2021,11,28,12,42,39,11,18.836849,47.116905,100.8,34.53,90
2021,11,28,12,42,39,11,18.836823,47.116932,100.8,34.53,90
2021,11,28,12,42,39,11,18.836798,47.116959,100.8,34.53,90
2021,11,28,12,42,39,11,18.836773,47.116985,100.7,34.53,90
2021,11,28,12,42,40,11,18.836748,47.117012,100.7,34.53,90
2021,11,28,12,42,40,11,18.836721,47.117039,100.7,34.53,90
2021,11,28,12,42,40,11,18.836697,47.117062,100.7,34.53,90
2021,11,28,12,42,40,11,18.836672,47.117088,100.7,34.53,90
2021,11,28,12,42,40,11,18.836647,47.117115,100.7,34.53,90
2021,11,28,12,42,40,11,18.836622,47.117142,100.7,34.53,90
2021,11,28,12,42,40,11,18.836597,47.117168,100.7,34.53,90
2021,11,28,12,42,40,11,18.836571,47.117191,100.7,34.53,90
2021,11,28,12,42,40,11,18.836546,47.117218,100.6,34.53,90
2021,11,28,12,42,40,11,18.836519,47.117245,100.6,34.53,90
2021,11,28,12,42,41,11,18.836493,47.117271,100.6,34.53,90
2021,11,28,12,42,41,11,18.836468,47.117294,100.6,34.53,90
2021,11,28,12,42,41,11,18.836443,47.117321,100.6,34.53,90
2021,11,28,12,42,41,11,18.836418,47.117348,100.6,34.53,90
2021,11,28,12,42,41,11,18.836391,47.117371,100.6,34.53,90
2021,11,28,12,42,41,11,18.836367,47.117397,100.6,34.53,90
2021,11,28,12,42,41,11,18.836340,47.117424,100.6,34.53,90
2021,11,28,12,42,41,11,18.836315,47.117451,100.6,34.53,90
2021,11,28,12,42,41,11,18.836288,47.117474,100.6,34.53,90
2021,11,28,12,42,41,11,18.836264,47.117500,100.6,34.53,90
2021,11,28,12,42,42,11,18.836237,47.117523,100.6,34.53,90
2021,11,28,12,42,42,11,18.836212,47.117550,100.6,34.53,90
2021,11,28,12,42,42,11,18.836185,47.117577,100.6,34.53,90
2021,11,28,12,42,42,11,18.836159,47.117603,100.6,34.53,90
2021,11,28,12,42,42,11,18.836134,47.117630,100.6,34.53,90
2021,11,28,12,42,42,11,18.836107,47.117653,100.6,34.53,90
2021,11,28,12,42,42,11,18.836081,47.117680,100.6,34.53,90
2021,11,28,12,42,42,11,18.836056,47.117702,100.6,34.53,90
2021,11,28,12,42,42,11,18.836029,47.117729,100.6,34.53,90
2021,11,28,12,42,42,11,18.836002,47.117752,100.6,34.53,90
2021,11,28,12,42,43,11,18.835976,47.117779,100.6,34.53,90
2021,11,28,12,42,43,11,18.835949,47.117805,100.6,34.53,90
2021,11,28,12,42,43,11,18.835922,47.117828,100.6,34.53,90
2021,11,28,12,42,43,11,18.835896,47.117855,100.7,34.53,90
2021,11,28,12,42,43,11,18.835869,47.117882,100.7,34.53,90
2021,11,28,12,42,43,11,18.835842,47.117905,100.7,34.53,90
2021,11,28,12,42,43,11,18.835815,47.117931,100.7,34.53,90
2021,11,28,12,42,43,11,18.835789,47.117954,100.7,34.53,90
2021,11,28,12,42,43,11,18.835762,47.117981,100.7,34.53,90
2021,11,28,12,42,43,11,18.835735,47.118004,100.7,34.53,90
2021,11,28,12,42,44,11,18.835709,47.118031,100.7,34.53,90
2021,11,28,12,42,44,11,18.835680,47.118057,100.7,34.53,90
2021,11,28,12,42,44,11,18.835653,47.118080,100.7,34.53,90
2021,11,28,12,42,44,11,18.835627,47.118107,100.7,34.53,90
2021,11,28,12,42,44,11,18.835598,47.118130,100.7,34.53,90
2021,11,28,12,42,44,11,18.835571,47.118156,100.7,34.53,90
2021,11,28,12,42,44,11,18.835545,47.118179,100.7,34.53,90
2021,11,28,12,42,44,11,18.835516,47.118206,100.7,34.53,90
2021,11,28,12,42,44,11,18.835489,47.118229,100.7,34.53,90
2021,11,28,12,42,44,11,18.835463,47.118256,100.7,34.53,90
2021,11,28,12,42,45,11,18.835436,47.118279,100.7,34.53,90
2021,11,28,12,42,45,11,18.835407,47.118305,100.7,34.53,90
2021,11,28,12,42,45,11,18.835381,47.118328,100.7,34.53,90
2021,11,28,12,42,45,11,18.835352,47.118355,100.7,34.53,90
2021,11,28,12,42,45,11,18.835325,47.118378,100.7,34.53,90
2021,11,28,12,42,45,11,18.835297,47.118401,100.7,34.53,90
2021,11,28,12,42,45,11,18.835268,47.118427,100.7,34.53,90
2021,11,28,12,42,45,11,18.835239,47.118450,100.7,34.53,90
2021,11,28,12,42,45,11,18.835213,47.118477,100.7,34.53,90
2021,11,28,12,42,45,11,18.835186,47.118500,100.7,34.53,90
2021,11,28,12,42,46,11,18.835157,47.118526,100.7,34.53,90
2021,11,28,12,42,46,11,18.835129,47.118549,100.7,34.53,90
2021,11,28,12,42,46,11,18.835100,47.118572,100.6,34.53,90
2021,11,28,12,42,46,11,18.835072,47.118595,100.6,34.53,90
2021,11,28,12,42,46,11,18.835043,47.118622,100.6,34.53,90
2021,11,28,12,42,46,11,18.835014,47.118645,100.6,34.53,90
2021,11,28,12,42,46,11,18.834988,47.118671,100.6,34.53,90
