Year,Month,Day,Hour,Minute,Second,nSAT,Lon,Lat,Alt1,Alt2,hAcc,vAcc,speed,speedAcc,PDOP
2021,10,17,15,31,0,9,204141140,477510690,145895.91,107615.93,3141,5228,63,439,187
2021,10,17,15,31,0,9,204141140,477510690,145923.91,107643.93,3142,5229,112,471,187
2021,10,17,15,31,0,9,204141140,477510690,145877.91,107597.93,3141,5230,73,448,187
2021,10,17,15,31,0,9,204141140,477510690,145913.91,107633.93,3140,5230,85,442,187
2021,10,17,15,31,0,9,204141150,477510690,145794.91,107514.93,3143,5234,51,468,187
2021,10,17,15,31,1,9,204141150,477510690,145820.91,107540.93,3145,5239,51,454,187
2021,10,17,15,31,1,9,204141150,477510690,145792.91,107512.93,3148,5244,28,495,187
2021,10,17,15,31,1,9,204141150,477510690,145823.91,107543.93,3151,5251,134,507,187
2021,10,17,15,31,1,9,204141150,477510690,145753.91,107473.93,3154,5259,90,414,187
2021,10,17,15,31,1,9,204141150,477510690,145812.91,107532.93,3157,5266,110,451,187
2021,10,17,15,31,2,9,204141150,477510690,145820.91,107540.93,3159,5272,89,503,187
2021,10,17,15,31,2,9,204141170,477510690,145803.91,107523.93,3161,5278,95,497,187
2021,10,17,15,31,2,9,204141170,477510690,145747.91,107467.93,3163,5285,97,509,187
2021,10,17,15,31,2,9,204141170,477510690,145644.91,107364.93,3165,5292,17,369,187
2021,10,17,15,31,2,9,204141170,477510690,145586.91,107306.93,3166,5299,85,482,187
2021,10,17,15,31,3,9,204141170,477510690,145551.91,107271.93,3168,5306,46,366,187
2021,10,17,15,31,3,9,204141170,477510690,145514.91,107234.93,3171,5315,46,412,187
2021,10,17,15,31,3,9,204141170,477510690,145508.91,107229.93,3173,5324,35,424,187
2021,10,17,15,31,3,9,204141170,477510690,145557.91,107277.93,3176,5333,46,418,187
2021,10,17,15,31,3,9,204141180,477510690,145538.91,107258.93,3179,5342,50,396,187
2021,10,17,15,31,4,9,204141180,477510690,145548.91,107268.93,3182,5350,37,387,187
2021,10,17,15,31,4,9,204141180,477510690,145479.91,107199.93,3184,5357,100,368,187
2021,10,17,15,31,4,9,204141180,477510690,145328.91,107048.93,3189,5363,225,432,187
2021,10,17,15,31,4,9,204141180,477510690,145190.91,106910.93,3192,5372,60,366,187
2021,10,17,15,31,4,9,204141200,477510690,145270.91,106990.93,3194,5377,68,356,187
2021,10,17,15,31,5,9,204141200,477510690,145200.91,106920.93,3197,5383,73,418,187
2021,10,17,15,31,5,9,204141200,477510690,145160.91,106880.93,3199,5389,34,367,187
2021,10,17,15,31,5,9,204141200,477510690,145219.91,106939.93,3201,5395,93,420,187
2021,10,17,15,31,5,9,204141180,477510690,145144.91,106864.93,3203,5401,307,502,187
2021,10,17,15,31,5,9,204141180,477510690,145197.91,106917.93,3205,5407,276,497,187
2021,10,17,15,31,6,9,204141180,477510690,145180.91,106900.93,3207,5414,332,501,187
2021,10,17,15,31,6,9,204141180,477510720,145109.91,106829.93,3209,5421,249,481,187
2021,10,17,15,31,6,9,204141180,477510720,145069.91,106789.93,3210,5428,193,467,187
2021,10,17,15,31,6,9,204141180,477510720,145054.91,106774.93,3212,5435,153,441,187
2021,10,17,15,31,6,9,204141180,477510720,144928.91,106648.93,3214,5441,38,369,187
2021,10,17,15,31,7,9,204141200,477510690,144869.91,106589.93,3217,5447,44,371,187
2021,10,17,15,31,7,9,204141180,477510720,144839.91,106559.93,3219,5453,113,416,187
2021,10,17,15,31,7,9,204141200,477510690,144923.91,106643.93,3222,5459,113,443,187
2021,10,17,15,31,7,9,204141200,477510690,145089.91,106809.93,3226,5468,173,489,187
2021,10,17,15,31,7,9,204141200,477510690,145160.91,106880.93,3231,5477,127,443,187
2021,10,17,15,31,8,9,204141220,477510690,145327.91,107047.93,3236,5486,231,529,187
2021,10,17,15,31,8,9,204141220,477510690,145455.91,107175.93,3240,5494,238,503,187
2021,10,17,15,31,8,9,204141220,477510690,145419.91,107139.93,3243,5502,127,519,187
2021,10,17,15,31,8,9,204141220,477510690,145524.91,107244.93,3245,5509,8,371,187
2021,10,17,15,31,8,9,204141230,477510690,145566.91,107286.93,3247,5517,62,451,187
2021,10,17,15,31,9,9,204141230,477510690,145449.91,107170.93,3249,5524,98,464,187
2021,10,17,15,31,9,9,204141220,477510690,145468.91,107188.93,3251,5531,148,516,187
2021,10,17,15,31,9,9,204141230,477510690,145398.91,107118.93,3253,5539,95,516,187
2021,10,17,15,31,9,9,204141230,477510690,145469.91,107189.93,3255,5546,181,513,187
2021,10,17,15,31,9,9,204141230,477510690,145532.91,107252.93,3257,5549,156,464,187
2021,10,17,15,31,10,9,204141230,477510690,145558.91,107278.93,3263,5553,93,595,187
2021,10,17,15,31,10,9,204141230,477510720,145715.91,107435.93,3275,5558,231,675,187
2021,10,17,15,31,10,9,204141220,477510720,145852.91,107572.93,3290,5563,415,722,187
2021,10,17,15,31,10,9,204141220,477510720,145928.91,107648.93,3306,5567,429,737,187
2021,10,17,15,31,10,9,204141220,477510720,146030.91,107750.93,3320,5573,406,725,187
2021,10,17,15,31,11,9,204141220,477510720,146055.91,107775.93,3333,5580,336,699,187
2021,10,17,15,31,11,9,204141220,477510720,146110.91,107830.93,3331,5586,213,553,187
2021,10,17,15,31,11,9,204141220,477510720,146236.91,107957.93,3335,5597,148,508,187
2021,10,17,15,31,11,9,204141220,477510720,146207.91,107927.93,3340,5611,97,451,187
2021,10,17,15,31,11,9,204141230,477510720,146295.91,108015.93,3345,5627,118,456,187
2021,10,17,15,31,12,9,204141230,477510720,146347.91,108067.93,3354,5641,69,428,187
2021,10,17,15,31,12,9,204141230,477510720,146437.91,108157.93,3363,5657,104,450,187
2021,10,17,15,31,12,9,204141230,477510720,146392.91,108112.93,3373,5672,114,512,187
2021,10,17,15,31,12,9,204141230,477510720,146320.91,108040.93,3383,5677,133,559,187
2021,10,17,15,31,12,9,204141230,477510720,146353.91,108073.93,3394,5686,127,517,187
2021,10,17,15,31,13,9,204141230,477510720,146343.91,108063.93,3404,5695,208,514,187
2021,10,17,15,31,13,9,204141230,477510690,146299.91,108019.93,3414,5703,84,512,187
2021,10,17,15,31,13,9,204141230,477510690,146320.91,108040.93,3427,5712,96,526,187
2021,10,17,15,31,13,9,204141230,477510690,146362.91,108082.93,3444,5722,21,519,187
2021,10,17,15,31,13,9,204141230,477510690,146422.91,108142.93,3462,5731,76,561,187
2021,10,17,15,31,14,9,204141250,477510690,146470.91,108190.93,3478,5740,103,656,187
